model,lambda,epsilon,beta
G1,0.0,0.05,5.825740112247461
G1,0.0,0.15,3.5354552253833518
G1,0.0,0.25,2.2843683495794638
G1,0.0,0.35,1.5880349726189167
G1,0.0,0.44999999999999996,1.0471306268913072
G1,0.0,0.5499999999999999,0.6825650042301328
G1,0.0,0.65,0.42197637608613214
G1,0.0,0.75,0.2824847829710209
G1,0.0,0.85,0.1595828483040303
G1,0.0,0.95,0.050366625245181096
G1,0.1,0.05,9.407460455088188
G1,0.1,0.15,5.457403724649933
G1,0.1,0.25,3.6593936798839506
G1,0.1,0.35,2.44325161284209
G1,0.1,0.44999999999999996,1.7190583123473888
G1,0.1,0.5499999999999999,1.2671258439809692
G1,0.1,0.65,0.7927344321699369
G1,0.1,0.75,0.5364364340946997
G1,0.1,0.85,0.3229022893085598
G1,0.1,0.95,0.1079159521637432
G1,0.2,0.05,10.346783602232891
G1,0.2,0.15,5.676752644550028
G1,0.2,0.25,4.003140309106184
G1,0.2,0.35,2.8788386348777406
G1,0.2,0.44999999999999996,2.0560067408181704
G1,0.2,0.5499999999999999,1.376937234278082
G1,0.2,0.65,0.9345257932111544
G1,0.2,0.75,0.6333917593940102
G1,0.2,0.85,0.43494571453667197
G1,0.2,0.95,0.151698276117819
G1,0.30000000000000004,0.05,10.836503099475092
G1,0.30000000000000004,0.15,6.427759798745738
G1,0.30000000000000004,0.25,4.504952764075053
G1,0.30000000000000004,0.35,3.2346864966293265
G1,0.30000000000000004,0.44999999999999996,2.4092015882594717
G1,0.30000000000000004,0.5499999999999999,1.698297174240381
G1,0.30000000000000004,0.65,1.213986553319689
G1,0.30000000000000004,0.75,0.8867168283584012
G1,0.30000000000000004,0.85,0.520470462794134
G1,0.30000000000000004,0.95,0.1805750153957666
G1,0.4,0.05,11.41367789522496
G1,0.4,0.15,6.620932635403771
G1,0.4,0.25,4.608091437045603
G1,0.4,0.35,3.3819102955784484
G1,0.4,0.44999999999999996,2.4961029160254213
G1,0.4,0.5499999999999999,1.7445053738263687
G1,0.4,0.65,1.2807011042445584
G1,0.4,0.75,0.9221576025785706
G1,0.4,0.85,0.5533377776714823
G1,0.4,0.95,0.19712814182146918
G1,0.5,0.05,11.484748889625077
G1,0.5,0.15,6.665852664048531
G1,0.5,0.25,4.598198073386401
G1,0.5,0.35,3.3819102955784484
G1,0.5,0.44999999999999996,2.47043158945122
G1,0.5,0.5499999999999999,1.7150247747076595
G1,0.5,0.65,1.210421566925584
G1,0.5,0.75,0.8504667409850374
G1,0.5,0.85,0.5048313922489878
G1,0.5,0.95,0.16827632828460087
G1,0.6000000000000001,0.05,12.105393152632614
G1,0.6000000000000001,0.15,7.136455166776459
G1,0.6000000000000001,0.25,4.874438551749009
G1,0.6000000000000001,0.35,3.6452843595472615
G1,0.6000000000000001,0.44999999999999996,2.6454281255037864
G1,0.6000000000000001,0.5499999999999999,1.8833714047896915
G1,0.6000000000000001,0.65,1.3013478881499654
G1,0.6000000000000001,0.75,0.9221576025785706
G1,0.6000000000000001,0.85,0.5605786673700678
G1,0.6000000000000001,0.95,0.1978476174075318
G1,0.7000000000000001,0.05,12.667994769678412
G1,0.7000000000000001,0.15,7.5483282395172235
G1,0.7000000000000001,0.25,5.270608910803006
G1,0.7000000000000001,0.35,3.955074697897663
G1,0.7000000000000001,0.44999999999999996,2.84472392124577
G1,0.7000000000000001,0.5499999999999999,2.0324057840704617
G1,0.7000000000000001,0.65,1.4204330822421107
G1,0.7000000000000001,0.75,1.0108253685486486
G1,0.7000000000000001,0.85,0.6516721586789957
G1,0.7000000000000001,0.95,0.22171768404322872
G1,0.8,0.05,12.861194153985561
G1,0.8,0.15,7.788110926249978
G1,0.8,0.25,5.419236500798694
G1,0.8,0.35,4.033799693200107
G1,0.8,0.44999999999999996,2.8574079565220716
G1,0.8,0.5499999999999999,2.0324057840704617
G1,0.8,0.65,1.4314957461942321
G1,0.8,0.75,1.0108253685486486
G1,0.8,0.85,0.6495196117971085
G1,0.8,0.95,0.21657350069683595
G1,0.9,0.05,12.917987354205941
G1,0.9,0.15,7.834590250558051
G1,0.9,0.25,5.527420545923993
G1,0.9,0.35,4.109793563039132
G1,0.9,0.44999999999999996,2.934565545362876
G1,0.9,0.5499999999999999,2.050554715966955
G1,0.9,0.65,1.406851952782127
G1,0.9,0.75,0.9945711950013072
G1,0.9,0.85,0.6483617885123591
G1,0.9,0.95,0.2100133178375952
G1,1.0,0.05,13.222328839669347
G1,1.0,0.15,8.129898642464239
G1,1.0,0.25,5.669553493806321
G1,1.0,0.35,4.225556099311446
G1,1.0,0.44999999999999996,3.0793995390669826
G1,1.0,0.5499999999999999,2.0898628392404506
G1,1.0,0.65,1.448714437788821
G1,1.0,0.75,1.0221529334635209
G1,1.0,0.85,0.6560936507935513
G1,1.0,0.95,0.21728738336418776
G2,0.0,0.05,4.9875137200713215
G2,0.0,0.15,2.917964629619281
G2,0.0,0.25,2.144714988819435
G2,0.0,0.35,1.3660435492842922
G2,0.0,0.44999999999999996,0.825292278773398
G2,0.0,0.5499999999999999,0.5744750627860222
G2,0.0,0.65,0.3990264843201692
G2,0.0,0.75,0.28154867878571765
