model,lambda,epsilon,beta
G1,0.0,0.05,7.114156290883998
G1,0.0,0.15,4.0029377766065055
G1,0.0,0.25,2.720850720304373
G1,0.0,0.35,1.9992076316679743
G1,0.0,0.44999999999999996,1.6633072516512821
G1,0.0,0.5499999999999999,1.3451734920962344
G1,0.0,0.65,0.7483750634911324
G1,0.0,0.75,0.6289172140525143
G1,0.0,0.85,0.44606413246908816
G1,0.0,0.95,0.1497578619500856
G1,0.1111111111111111,0.05,10.613442804299256
G1,0.1111111111111111,0.15,6.3874728696276755
G1,0.1111111111111111,0.25,4.401628527173696
G1,0.1111111111111111,0.35,3.291446389357179
G1,0.1111111111111111,0.44999999999999996,2.3076383382516052
G1,0.1111111111111111,0.5499999999999999,1.8275467466087139
G1,0.1111111111111111,0.65,1.367780484196628
G1,0.1111111111111111,0.75,1.0174274297483765
G1,0.1111111111111111,0.85,0.6524206660286607
G1,0.1111111111111111,0.95,0.2265133892191921
G1,0.2222222222222222,0.05,11.036746364990266
G1,0.2222222222222222,0.15,6.904334790211074
G1,0.2222222222222222,0.25,4.903420260473391
G1,0.2222222222222222,0.35,3.48646198014845
G1,0.2222222222222222,0.44999999999999996,2.5258678386166196
G1,0.2222222222222222,0.5499999999999999,1.8592927548053257
G1,0.2222222222222222,0.65,1.461487184709837
G1,0.2222222222222222,0.75,1.0205168875689323
G1,0.2222222222222222,0.85,0.6635977054865985
G1,0.2222222222222222,0.95,0.22741572730171794
G1,0.3333333333333333,0.05,11.23403080780113
G1,0.3333333333333333,0.15,6.804539443788448
G1,0.3333333333333333,0.25,4.668152517855652
G1,0.3333333333333333,0.35,3.34263709350959
G1,0.3333333333333333,0.44999999999999996,2.358349797002746
G1,0.3333333333333333,0.5499999999999999,1.7723528826654302
G1,0.3333333333333333,0.65,1.26623966213814
G1,0.3333333333333333,0.75,0.9744062273109778
G1,0.3333333333333333,0.85,0.6334494355033491
G1,0.3333333333333333,0.95,0.21416352544590295
G1,0.4444444444444444,0.05,10.953140452154354
G1,0.4444444444444444,0.15,6.614078845257444
G1,0.4444444444444444,0.25,4.603205860168156
G1,0.4444444444444444,0.35,3.273186915863775
G1,0.4444444444444444,0.44999999999999996,2.3051662027866833
G1,0.4444444444444444,0.5499999999999999,1.7114332172761326
G1,0.4444444444444444,0.65,1.2304557026571525
G1,0.4444444444444444,0.75,0.936093729779631
G1,0.4444444444444444,0.85,0.6094746963773451
G1,0.4444444444444444,0.95,0.1961752498788306
G1,0.5555555555555556,0.05,11.301388032513028
G1,0.5555555555555556,0.15,7.020439916369366
G1,0.5555555555555556,0.25,4.752857875196755
G1,0.5555555555555556,0.35,3.408285909267714
G1,0.5555555555555556,0.44999999999999996,2.3952079596745377
G1,0.5555555555555556,0.5499999999999999,1.7606412688872446
G1,0.5555555555555556,0.65,1.2400790533679886
G1,0.5555555555555556,0.75,0.8911119252406413
G1,0.5555555555555556,0.85,0.5748525427961213
G1,0.5555555555555556,0.95,0.18856278562797907
G1,0.6666666666666666,0.05,11.733596670611565
G1,0.6666666666666666,0.15,7.461245507760342
G1,0.6666666666666666,0.25,5.175695100624601
G1,0.6666666666666666,0.35,3.660077570342823
G1,0.6666666666666666,0.44999999999999996,2.6252059843258495
G1,0.6666666666666666,0.5499999999999999,1.8852491162411988
G1,0.6666666666666666,0.65,1.3052983964509517
G1,0.6666666666666666,0.75,0.9744062273109778
G1,0.6666666666666666,0.85,0.5974469456345828
G1,0.6666666666666666,0.95,0.19446395646968187
G1,0.7777777777777777,0.05,12.389247326286199
G1,0.7777777777777777,0.15,7.928548185887734
G1,0.7777777777777777,0.25,5.315814204492979
G1,0.7777777777777777,0.35,3.870991323297692
G1,0.7777777777777777,0.44999999999999996,2.775185085166829
G1,0.7777777777777777,0.5499999999999999,2.0739475934815452
G1,0.7777777777777777,0.65,1.4949119752138542
G1,0.7777777777777777,0.75,1.008570390671312
G1,0.7777777777777777,0.85,0.6365493962530092
G1,0.7777777777777777,0.95,0.21806399805598808
G1,0.8888888888888888,0.05,12.701390988323492
G1,0.8888888888888888,0.15,7.968022072715465
G1,0.8888888888888888,0.25,5.342408140831873
G1,0.8888888888888888,0.35,3.888763149470205
G1,0.8888888888888888,0.44999999999999996,2.775185085166829
G1,0.8888888888888888,0.5499999999999999,2.0709782318795
G1,0.8888888888888888,0.65,1.4949119752138542
G1,0.8888888888888888,0.75,1.001824824916805
G1,0.8888888888888888,0.85,0.6269825903757835
G1,0.8888888888888888,0.95,0.2036069445495194
G1,1.0,0.05,13.440259540354507
G1,1.0,0.15,8.347644736528853
G1,1.0,0.25,5.596420175587929
G1,1.0,0.35,3.9776191705828623
G1,1.0,0.44999999999999996,2.925465093683035
G1,1.0,0.5499999999999999,2.167822118384384
G1,1.0,0.65,1.599451158604774
G1,1.0,0.75,1.0794934286774258
G1,1.0,0.85,0.7138697213270311
G1,1.0,0.95,0.23523455266675963
G2,0.0,0.05,6.604391911239494
G2,0.0,0.15,3.561679816902296
G2,0.0,0.25,2.481419915644959
G2,0.0,0.35,1.5476942958304485
G2,0.0,0.44999999999999996,0.9010714716429906
G2,0.0,0.5499999999999999,0.6557186856129706
G2,0.0,0.65,0.4517450004653827
G2,0.0,0.75,0.31788141619642435
G2,0.0,0.85,0.18512235428845536
G2,0.0,0.95,0.06941218458503405
G2,0.2222222222222222,0.05,6.344122658966979
G2,0.2222222222222222,0.15,3.623720146809986
G2,0.2222222222222222,0.25,2.430244602775499
G2,0.2222222222222222,0.35,1.7714079283924384
G2,0.2222222222222222,0.44999999999999996,1.2590183090276605
G2,0.2222222222222222,0.5499999999999999,0.7352216033295416
G2,0.2222222222222222,0.65,0.5918032608859811
G2,0.2222222222222222,0.75,0.41953828929542314
G2,0.2222222222222222,0.85,0.290230795609395
G2,0.2222222222222222,0.95,0.09799501103964647
G2,0.4444444444444444,0.05,5.7965405817535425
G2,0.4444444444444444,0.15,3.545418975425432
G2,0.4444444444444444,0.25,2.409453753572158
G2,0.4444444444444444,0.35,1.8133570415699964
G2,0.4444444444444444,0.44999999999999996,1.2590183090276605
G2,0.4444444444444444,0.5499999999999999,0.8137689646849242
G2,0.4444444444444444,0.65,0.6145454146821212
G2,0.4444444444444444,0.75,0.4306442015656692
G2,0.4444444444444444,0.85,0.290230795609395
G2,0.4444444444444444,0.95,0.0990349485083309
G2,0.6666666666666666,0.05,5.879327703730535
G2,0.6666666666666666,0.15,3.623720146809986
G2,0.6666666666666666,0.25,2.409453753572158
G2,0.6666666666666666,0.35,1.8133570415699964
G2,0.6666666666666666,0.44999999999999996,1.2590183090276605
G2,0.6666666666666666,0.5499999999999999,0.8346138674803227
G2,0.6666666666666666,0.65,0.6145454146821212
G2,0.6666666666666666,0.75,0.4220403375739823
G2,0.6666666666666666,0.85,0.28246659272898655
G2,0.6666666666666666,0.95,0.09540369096295045
